Date,Temperature,NOx,Wind Direction,Wind Speed,PM2.5
1/19/19 1:00,16.5,20.8,358,1.9,51
1/19/19 2:00,16.4,16.6,2,2.1,60
1/19/19 3:00,16.3,12.4,23,2,52
1/19/19 4:00,16.3,9.9,31,3,52
1/19/19 5:00,16.2,12.1,14,2.7,42
1/19/19 6:00,16.4,16.5,24,2.6,44
1/19/19 7:00,16.6,22.8,36,1.9,47
1/19/19 8:00,17.8,29.4,6,2.2,61
1/19/19 9:00,19.5,25.7,354,1.9,67
1/19/19 10:00,20.8,21.9,6,1.5,67
1/19/19 11:00,21.9,18.9,347,2.8,60
1/19/19 12:00,22.4,18.8,1,2.3,58
1/19/19 13:00,23,18.2,360,3.4,50
1/19/19 14:00,23,16.6,5,3.3,42
1/19/19 15:00,22.8,15.5,351,2.6,34
1/19/19 16:00,22.6,16.1,16,2.3,27
1/19/19 17:00,22,23.7,19,2,25
1/19/19 18:00,21.5,31.2,45,1,35
1/19/19 19:00,21.5,37.9,53,1,43
1/19/19 20:00,21.5,31.5,33,0.8,45
1/19/19 21:00,20.8,38,70,0.6,43
1/19/19 22:00,20.4,26.3,157,1.1,51
1/19/19 23:00,20.1,14.6,157,1.3,60
1/20/19 0:00,20,18.6,113,1.4,58
1/20/19 1:00,19.9,11.8,175,0.5,61
1/20/19 2:00,19.8,10.3,156,0.8,51
1/20/19 3:00,20,23.6,88,0.6,46
1/20/19 4:00,20.1,19.5,353,1.6,30
1/20/19 5:00,19.8,21.2,23,1.3,40
1/20/19 6:00,19.6,28.7,12,1.3,57
1/20/19 7:00,19.1,25.8,69,1.3,77
1/20/19 8:00,20,33.6,88,1.2,91
1/20/19 9:00,21,34,314,2,100
1/20/19 10:00,21.4,28.5,340,2.4,108
1/20/19 11:00,22.7,21.9,34,2.3,95
1/20/19 12:00,22.9,20.7,10,2.4,91
1/20/19 13:00,23.3,18.3,346,2.6,74
1/20/19 14:00,23.7,19.4,358,4.1,73
1/20/19 15:00,24.3,12.8,353,2.7,52
1/20/19 16:00,23,15.7,349,2.5,41
1/20/19 17:00,22.1,20.4,0,2.6,47
1/20/19 18:00,21,20.7,351,3,56
1/20/19 19:00,19.3,20,6,3.8,72
1/20/19 20:00,18.8,23.5,1,3,70
1/20/19 21:00,18.4,23.4,22,2.5,76
1/20/19 22:00,18.2,23.6,11,2.2,74
1/20/19 23:00,18.1,20.3,14,3.1,76
1/21/19 0:00,18,18,18,3.1,71
1/21/19 1:00,17.7,15.7,11,3.4,68
1/21/19 2:00,17.3,11.4,358,3.7,51
1/21/19 3:00,16.7,11.5,16,3.7,42
1/21/19 4:00,16.2,13.1,10,3.7,30
1/21/19 5:00,15.7,10.4,7,4.5,30
1/21/19 6:00,15.6,10.6,8,3.4,25
1/21/19 7:00,15.4,14.1,1,3.3,24
1/21/19 8:00,15.1,16.2,11,3.9,21
1/21/19 9:00,15.3,19.5,19,2.9,17
1/21/19 10:00,15.9,26.2,27,2.5,20
1/21/19 11:00,16.8,26.2#                          ,24,3.4,785#                           
1/21/19 12:00,17.9,21.8,1,3.1,33#                            
1/21/19 13:00,18,21.2,24,3,34
1/21/19 14:00,19.4,22.6,3,3.1,30
1/21/19 15:00,19.7,21.7,2,3.6,32
1/21/19 16:00,18.9,16.5,9,3.3,27
1/21/19 17:00,17.2,15.2,14,3.6,30
1/21/19 18:00,16.2,17.2,5,3.6,33
1/21/19 19:00,15.7,17.4,9,3.2,28
